Account,trade_date,daily_pnl,daily_volume,avg_trade_size,num_trades,daily_fees,win_count,closing_trade_count,pnl_volatility,net_signed_size,buy_volume,win_rate,fee_pct_of_volume
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-09,1196.800511,24623.82,107.99921052631579,228,7.76593389,155.0,158,12.490584753198213,28865.89,22186.199999999997,98.10126582278481,0.031538298647407266
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-10,582.150946,13064.35,107.08483606557377,122,4.89959876,68.0,75,13.067905846731083,15520.29319,10267.12,90.66666666666666,0.03750357851710954
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-11,2646.729828,11770.35,104.16238938053098,113,4.257212,45.0,53,91.34838025936605,-13363.927889999999,1289.67,84.90566037735849,0.036168949946263275
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,4997.407254,24946.87,134.84794594594595,185,8.82972431,102.0,115,95.5956260600311,-4471.22043,9263.29,88.69565217391305,0.03539411681705961
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-13,1764.252765,9389.0,85.35454545454546,110,4.22425423,53.0,53,27.48672029291332,-2841.5400000000004,3168.86,100.0,0.04499152444349771
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-14,12755.288783,27844.66,197.47985815602837,141,9.381848,108.0,111,179.70663635280172,-13325.34481,4873.22,97.2972972972973,0.033693526873734496
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-15,7413.084181,20720.21,121.88358823529411,170,14.37107684,87.0,92,131.12360847788233,14057.464899999999,5244.000000000001,94.56521739130434,0.06935777600709646
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-16,13220.002821,29837.54,143.44971153846154,208,9.86623615,148.0,148,149.58036137746993,-17073.19298,5176.010000000001,100.0,0.03306652006164047
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-17,2893.057626,23356.42,111.22104761904761,210,6.78287944,76.0,78,58.62139803734082,10471.01802,15240.73,97.43589743589743,0.0290407495669285
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-18,3885.517611,24992.09,124.33875621890547,201,7.98861521,95.0,103,79.26459932859424,-2129.6792511,13771.67,92.23300970873787,0.031964574431350076
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-19,980.214255,35615.59,211.9975595238095,168,13.39359434,58.0,68,27.32543914426526,26707.7,25462.250000000004,85.29411764705883,0.03760598754646491
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-20,10183.381097,61213.29,298.60141463414635,205,21.16139075,129.0,139,120.56873412310814,-26734.67673,20181.420000000002,92.80575539568345,0.03456992876873633
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-21,5221.007208,17353.87,197.20306818181817,88,6.19005091,36.0,38,184.4154976839959,-5648.17519,4401.37,94.73684210526315,0.03566957059145885
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-22,860.532633,14435.49,165.9251724137931,87,4.84801923,38.0,38,53.550123412587126,10855.57113,10108.770000000002,100.0,0.03358402956879192
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-23,88.594374,17352.99,237.71219178082194,73,6.62448965,22.0,24,6.443971357786583,10283.82182,11245.749999999998,91.66666666666666,0.038174917694299364
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-24,2217.373891,18985.18,292.0796923076923,65,6.092272,30.0,30,118.13117401223236,-28558.2288,1029.8899999999999,100.0,0.03208961937679811
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-25,870.8118599999999,15305.23,239.14421875,64,5.21205684,15.0,24,159.71862764226427,-15251.67505,4525.13,62.5,0.03405409026848992
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-26,134.245423,17228.62,246.12314285714285,70,5.9720293,29.0,29,6.521882241384617,900.4777400000002,14018.760000000002,100.0,0.03466342225900856
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-27,523.2680330000001,17104.36,196.60183908045977,87,6.11682637,34.0,34,27.675510628713624,27645.94702,8610.430000000002,100.0,0.035761796232071826
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-28,407.64784,9725.63,167.68327586206894,58,3.45597788,29.0,36,21.615770397705564,-1266.18941,4957.42,80.55555555555556,0.035534745615451134
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-29,105.359938,6913.96,153.64355555555557,45,2.63748498,16.0,16,9.550517374397563,5336.10871,4808.99,100.0,0.03814724094440812
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-30,308.859696,102846.33,761.8246666666666,135,31.40604438,39.0,41,15.76784304581039,17115.19051,66837.21999999999,95.1219512195122,0.03053686444620824
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-31,430.631855,75997.49,791.6405208333334,96,20.78586074,32.0,32,34.29517592628784,-1640.08175,37321.71000000001,100.0,0.027350720056675555
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,173.322327,17496.29,233.28386666666668,75,6.29739693,25.0,26,7.52494420032927,-27262.96974,7116.3600000000015,96.15384615384616,0.03599275577851076
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,298.071608,15472.3,221.03285714285713,70,5.328166,34.0,37,10.066327126235246,-3050.5899999999997,1569.2599999999998,91.8918918918919,0.03443680642179896
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,370.156964,19884.87,228.561724137931,87,6.93308694,44.0,51,11.609466354729342,25566.95974,7357.820000000001,86.27450980392157,0.03486614164437585
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,165.732117,8179.62,122.08388059701493,67,2.872032,41.0,42,3.1051610553256417,-9870.4,3636.38,97.61904761904762,0.03511204676989885
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,47.588,6807.47,98.65898550724638,69,2.382587,33.0,36,2.2612278641508503,-10691.16,4181.670000000001,91.66666666666666,0.03499959603200602
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-06,115.29102599999999,6782.47,80.74369047619048,84,2.35655,21.0,21,8.79720688156802,-11194.25,1960.4500000000003,100.0,0.0347447168951724
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-07,343.382063,11794.53,101.6769827586207,116,4.13187332,87.0,91,4.083874285105124,47396.450000000004,10307.009999999998,95.6043956043956,0.035032115056725446
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-08,855.743593,88379.84,552.374,160,31.49765122,91.0,99,13.425685749701207,10407.17,53065.70999999999,91.91919191919192,0.03563895478878441
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-09,368.962724,65085.21,756.8047674418605,86,22.65642746,33.0,33,15.713690780871271,708.39,33399.670000000006,100.0,0.03481040847836244
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-10,451.112184,44898.03,510.2048863636364,88,13.298428,42.0,45,15.866706225251624,-1020.6499,18664.170000000002,93.33333333333333,0.029619179282476316
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-11,119.3832,15047.199999999999,518.8689655172413,29,5.266499,13.0,15,8.876107323051023,-142.14749999999998,7386.859999999999,86.66666666666667,0.03499986043915147
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-12,184.131273,26250.7,430.33934426229507,61,8.896816489999999,31.0,32,10.6193868831852,1190.28925,15620.84,96.875,0.03389173046813989
